Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [�m];Target;Temperature  [�C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
46;2167,06886307911;866,973104209409;-512,007713011865;0;0;0;0;7,98593452502578;0,575820087043856;0,578595081403998;-0,409858597244153;-0,407031803913358;0,341520200940383;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:52:21.748;False;;
47;2224,75005831274;900,510453389226;-511,661707856154;0;0;0;0;7,86294447293831;0,575758187748106;0,578582054283709;-0,409853088817902;-0,407143416118063;0,334897874184539;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:52:27.225;False;;
49;2282,3800885014;933,904079182955;-511,327481642765;0;0;0;0;7,7520929193517;0,575741935809561;0,578596709188412;-0,409799889827124;-0,407199118078952;0,321807226930415;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:52:32.709;False;;
50;1969,56154406941;675,857772851833;-513,645950349015;0;0;0;0;8,56271669688123;0,575795677896704;0,578756708757878;-0,409686467521652;-0,407009837366192;0,338674665288399;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:52:55.206;False;;
51;2027,16214537625;709,219283324416;-513,22186301937;0;0;0;0;8,27362778983698;0,57573114212577;0,578642215964768;-0,409735774649113;-0,407214234602171;0,308517054596392;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,3845653533936;988,325988769531;32,5999984741211;'04.04.2024 11:53:00.779;False;;
52;2084,76450446766;742,73401698159;-512,834090510987;0;0;0;0;8,02340502007587;0,575702103043157;0,578678597870197;-0,409647399244505;-0,407292495893163;0,326914647344609;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,3845653533936;988,325988769531;32,5999984741211;'04.04.2024 11:53:06.367;False;;
54;2142,46520003979;776,235083914821;-512,491318649368;0;0;0;0;7,80317837294234;0,575660397849781;0,578680182983285;-0,40962745114092;-0,407369247049477;0,353747902422996;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,3845653533936;988,325988769531;32,5999984741211;'04.04.2024 11:53:11.983;False;;
55;2200,25521057788;809,558337530523;-512,148947514337;0;0;0;0;7,61027869414149;0,575679433210089;0,578670610331181;-0,409659380553399;-0,407323835347818;0,338234579604737;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,3845653533936;988,325988769531;32,5999984741211;'04.04.2024 11:53:17.625;False;;
56;2258,0479568976;842,874870037792;-511,786171843351;0;0;0;0;7,44275297106552;0,575714002707187;0,57868778255819;-0,409701800519741;-0,407207897830626;0,326155336114927;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,3845653533936;988,325988769531;32,5999984741211;'04.04.2024 11:53:23.282;False;;
57;2315,79728251807;876,111123805726;-511,448718948178;0;0;0;0;7,28995982112042;0,57576242939681;0,578595342991061;-0,409814655708412;-0,407157220162846;0,333726430027116;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,3845653533936;988,325988769531;32,5999984741211;'04.04.2024 11:53:28.937;False;;
58;2002,8377682863;618,239438886628;-513,807971478787;0;0;0;0;8,80051854171729;0,575755598465816;0,578771621286621;-0,409564407042178;-0,407168144275452;0,319629860275047;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6625652313232;988,325988769531;32,5999984741211;'04.04.2024 11:53:51.605;False;;
59;2060,4442139556;651,557669189376;-513,38541294304;0;0;0;0;8,44115715368122;0,575712104839829;0,578675046050419;-0,409655028760454;-0,407275730716564;0,338283313896787;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6625652313232;988,325988769531;32,5999984741211;'04.04.2024 11:53:57.350;False;;
60;2118,16632821782;684,937508100226;-513,016955358133;0;0;0;0;8,12388206185992;0,575694528974491;0,578667163853686;-0,409666997033802;-0,407299735241354;0,248003981993022;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6625652313232;988,325988769531;32,5999984741211;'04.04.2024 11:54:03.095;False;;
61;2175,90401024313;718,395372757267;-512,664094963378;0;0;0;0;7,83821596530079;0,575707108206188;0,57870211954132;-0,409617644083266;-0,407281926992751;0,326920578790195;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6625652313232;988,325988769531;32,5999984741211;'04.04.2024 11:54:08.878;False;;
62;2233,66264167891;751,804123719824;-512,308449132153;0;0;0;0;7,58256422958147;0,575669897673147;0,57870491629827;-0,409655740866402;-0,407292232605042;0,34091569812216;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6625652313232;988,325988769531;32,5999984741211;'04.04.2024 11:54:14.687;False;;
63;2291,38587848254;785,30978020698;-511,950691267628;0;0;0;0;7,34988322033566;0,575629551015666;0,578718737312208;-0,409647691541459;-0,407337712342008;0,324417769173712;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6625652313232;988,325988769531;32,5999984741211;'04.04.2024 11:54:20.511;False;;
